Champion,Image URL
Renekton,https://cdn.mobalytics.gg/assets/lol/images/dd/champions/icons/renekton.png?V3
Gnar,https://cdn.mobalytics.gg/assets/lol/images/dd/champions/icons/gnar.png?V3
Fiora,https://cdn.mobalytics.gg/assets/lol/images/dd/champions/icons/fiora.png?V3
Kled,https://cdn.mobalytics.gg/assets/lol/images/dd/champions/icons/kled.png?V3
Warwick,https://cdn.mobalytics.gg/assets/lol/images/dd/champions/icons/warwick.png?V3
Ornn,https://cdn.mobalytics.gg/assets/lol/images/dd/champions/icons/ornn.png?V3
Malphite,https://cdn.mobalytics.gg/assets/lol/images/dd/champions/icons/malphite.png?V3
Volibear,https://cdn.mobalytics.gg/assets/lol/images/dd/champions/icons/volibear.png?V3
K'Sante,https://cdn.mobalytics.gg/assets/lol/images/dd/champions/icons/ksante.png?V3
Xayah,https://cdn.mobalytics.gg/assets/lol/images/dd/champions/icons/xayah.png?V3
